#,,0=FMV,0=horizontal,,0=left,from left to right,,,,,,,,,,,,,,-1=no amp,-1=no amp,,,,,,,,,,,
#,,1=MRD,1=vertical,,1=right,from bottom to top,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,0=bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,1=top,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGEND_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detector_num,channel_num,detector_system,orientation,layer,side,num,x_center,y_center,z_center,x_width,y_width,z_width,rack,TDC_slot,TDC_channel,discrim_slot,discrim_ch,patch_panel_row,patch_panel_col,amp_slot,amp_channel,hv_crate,hv_slot,hv_channel,nominal_HV,polarity,PMT_type,cable_label,paddle_label,notes,lemo/bnc splitter row,lemo/bnc splitter chan
########################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_START,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011202,1011202,1,0,2,1,12,73.75,121.8,336.38,147.2,20,0.6,7,17,26,16,13,2,13,-1,-1,1,2,5,-2000,-1,-9999,MRD_x01_y12_z02,MRD_x01_y12_z02,None,9,12
1000003,1000003,1,1,3,0,0,-142.1,-65.25,348.84,20,130.2,0.6,8,18,1,19,1,3,1,-1,-1,1,2,6,-1400,-1,-9999,MRD_x00_y00_z03,MRD_x00_y00_z03,None,4,0
1000103,1000103,1,1,3,0,1,-121.8,-65.25,348.84,20,130.2,0.6,8,18,2,19,2,3,2,-1,-1,1,2,7,-1400,-1,-9999,MRD_x01_y00_z03,MRD_x01_y00_z03,None,4,1
1000203,1000203,1,1,3,0,2,-101.5,-65.25,348.84,20,130.2,0.6,8,18,3,19,3,3,3,-1,-1,1,2,8,-1400,-1,-9999,MRD_x02_y00_z03,MRD_x02_y00_z03,None,4,2
1000303,1000303,1,1,3,0,3,-81.2,-65.25,348.84,20,130.2,0.6,8,18,4,19,4,3,4,-1,-1,1,2,9,-1400,-1,-9999,MRD_x03_y00_z03,MRD_x03_y00_z03,None,4,3
1000403,1000403,1,1,3,0,4,-60.9,-65.25,348.84,20,130.2,0.6,8,18,5,19,5,3,5,-1,-1,1,2,10,-1400,-1,-9999,MRD_x04_y00_z03,MRD_x04_y00_z03,None,4,4
1000503,1000503,1,1,3,0,5,-40.6,-65.25,348.84,20,130.2,0.6,8,18,6,19,6,3,6,-1,-1,1,2,11,-1400,-1,-9999,MRD_x05_y00_z03,MRD_x05_y00_z03,None,4,5
1000603,1000603,1,1,3,0,6,-20.3,-65.25,348.84,20,130.2,0.6,8,18,7,19,7,3,7,-1,-1,1,2,12,-1400,-1,-9999,MRD_x06_y00_z03,MRD_x06_y00_z03,None,4,6
1000703,1000703,1,1,3,0,7,0,-65.25,348.84,20,130.2,0.6,8,18,8,19,8,3,8,-1,-1,1,2,13,-1400,-1,-9999,MRD_x07_y00_z03,MRD_x07_y00_z03,None,4,7
1000803,1000803,1,1,3,0,8,20.3,-65.25,348.84,20,130.2,0.6,8,18,9,19,9,3,9,-1,-1,1,2,14,-1400,-1,-9999,MRD_x08_y00_z03,MRD_x08_y00_z03,None,4,8
1000903,1000903,1,1,3,0,9,40.6,-65.25,348.84,20,130.2,0.6,8,18,10,19,10,3,10,-1,-1,1,2,15,-1400,-1,-9999,MRD_x09_y00_z03,MRD_x09_y00_z03,None,4,9
1001003,1001003,1,1,3,0,10,60.9,-65.25,348.84,20,130.2,0.6,8,18,11,19,11,3,11,-1,-1,1,2,16,-1400,-1,-9999,MRD_x10_y00_z03,MRD_x10_y00_z03,None,4,10
1001103,1001103,1,1,3,0,11,81.2,-65.25,348.84,20,130.2,0.6,8,18,12,19,12,3,12,-1,-1,1,2,17,-1400,-1,-9999,MRD_x11_y00_z03,MRD_x11_y00_z03,None,4,11
1001203,1001203,1,1,3,0,12,101.5,-65.25,348.84,20,130.2,0.6,8,18,13,19,13,3,13,-1,-1,1,2,18,-1400,-1,-9999,MRD_x12_y00_z03,MRD_x12_y00_z03,None,4,12
1001303,1001303,1,1,3,0,13,121.8,-65.25,348.84,20,130.2,0.6,8,18,14,19,14,3,14,-1,-1,1,2,19,-1400,-1,-9999,MRD_x13_y00_z03,MRD_x13_y00_z03,None,4,13
1010003,1010003,1,1,3,1,0,-142.1,65.25,348.84,20,130.2,0.6,8,18,15,20,1,4,1,-1,-1,1,2,20,-1400,-1,-9999,MRD_x00_y01_z03,MRD_x00_y01_z03,None,5,0
1010103,1010103,1,1,3,1,1,-121.8,65.25,348.84,20,130.2,0.6,8,18,16,20,2,4,2,-1,-1,1,2,21,-1400,-1,-9999,MRD_x01_y01_z03,MRD_x01_y01_z03,None,5,1
1010203,1010203,1,1,3,1,2,-101.5,65.25,348.84,20,130.2,0.6,8,18,17,20,3,4,3,-1,-1,1,2,22,-1400,-1,-9999,MRD_x02_y01_z03,MRD_x02_y01_z03,None,5,2
1010303,1010303,1,1,3,1,3,-81.2,65.25,348.84,20,130.2,0.6,8,18,18,20,4,4,4,-1,-1,1,2,23,-1400,-1,-9999,MRD_x03_y01_z03,MRD_x03_y01_z03,None,5,3
1010403,1010403,1,1,3,1,4,-60.9,65.25,348.84,20,130.2,0.6,8,18,19,20,5,4,5,-1,-1,1,3,0,-1400,-1,-9999,MRD_x04_y01_z03,MRD_x04_y01_z03,None,5,4
1010503,1010503,1,1,3,1,5,-40.6,65.25,348.84,20,130.2,0.6,8,18,20,20,6,4,6,-1,-1,1,3,1,-1400,-1,-9999,MRD_x05_y01_z03,MRD_x05_y01_z03,None,5,5
1010603,1010603,1,1,3,1,6,-20.3,65.25,348.84,20,130.2,0.6,8,18,21,20,7,4,7,-1,-1,1,3,2,-1400,-1,-9999,MRD_x06_y01_z03,MRD_x06_y01_z03,None,5,6
1010703,1010703,1,1,3,1,7,0,65.25,348.84,20,130.2,0.6,8,18,22,20,8,4,8,-1,-1,1,3,3,-1400,-1,-9999,MRD_x07_y01_z03,MRD_x07_y01_z03,None,5,7
1010803,1010803,1,1,3,1,8,20.3,65.25,348.84,20,130.2,0.6,8,18,23,20,9,4,9,-1,-1,1,3,4,-1400,-1,-9999,MRD_x08_y01_z03,MRD_x08_y01_z03,None,5,8
1010903,1010903,1,1,3,1,9,40.6,65.25,348.84,20,130.2,0.6,8,18,24,20,10,4,10,-1,-1,1,3,5,-1400,-1,-9999,MRD_x09_y01_z03,MRD_x09_y01_z03,None,5,9
1011003,1011003,1,1,3,1,10,60.9,65.25,348.84,20,130.2,0.6,8,18,25,20,11,4,11,-1,-1,1,3,6,-1400,-1,-9999,MRD_x10_y01_z03,MRD_x10_y01_z03,None,5,10
1011103,1011103,1,1,3,1,11,81.2,65.25,348.84,20,130.2,0.6,8,18,26,20,12,4,12,-1,-1,1,3,7,-1400,-1,-9999,MRD_x11_y01_z03,MRD_x11_y01_z03,None,5,11
1011203,1011203,1,1,3,1,12,101.5,65.25,348.84,20,130.2,0.6,8,18,27,20,13,4,13,-1,-1,1,3,8,-1400,-1,-9999,MRD_x12_y01_z03,MRD_x12_y01_z03,None,5,12
1011303,1011303,1,1,3,1,13,121.8,65.25,348.84,20,130.2,0.6,8,18,28,20,14,4,14,-1,-1,1,3,9,-1400,-1,-9999,MRD_x13_y01_z03,MRD_x13_y01_z03,None,5,13
1011403,1011403,1,1,3,1,14,142.1,65.25,348.84,20,130.2,0.6,8,18,29,20,15,4,15,-1,-1,1,3,10,-1400,-1,-9999,MRD_x14_y01_z03,MRD_x14_y01_z03,None,5,14
DATA_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
