PMT, p0, p1, p2, T1, T2, r1, r2, uncertainty_p0, uncertainty_p1, uncertainty_p2, uncertainty_T1, uncertainty_T2, uncertainty_r1, uncertainty_r2, offset_std
387, 19.698840619318755, 66.51687876007263, 0.037732742430993, 6.877548622374473, 8.090376674361364, 0.2390210913944661, 0.1244593890144124, 1.805196123494598, 0.2411285469294603, 0.0020875042942138, 0.5231229274062029, 0.2489240884588758, 0.0467137601036716, 0.0186004012257697, 0.87
388, 16.976419363727093, 66.0691858132698, 0.0374432826384177, 7.1985994097835295, 7.501018713933011, 0.1802775935228593, 0.1045309384955463, 1.1414698962373522, 0.189256076969585, 0.0018847684596867, 0.6651225124034182, 0.3378953313385421, 0.0367934612419309, 0.0182629608387061, 0.92
389, 20.69153184363912, 66.28230965465572, 0.0366506428225253, 7.009714867797686, 7.749748176725212, 0.196747081733372, 0.0917180855550247, 1.4397651841289492, 0.1776323801606303, 0.0016986888604135, 0.4911473343227802, 0.2976906425874857, 0.0343977488673439, 0.0160849546142348, 1.28
390, 18.29513190531393, 65.75895717472372, 0.0339468262737206, 7.454371556179617, 7.554554244355689, 0.1732254815092535, 0.1174627447756332, 1.896160982875436, 0.2368148607245767, 0.0022655554252346, 0.5632723891929925, 0.299523491895407, 0.0354989337738146, 0.0229176746212104, 0.95
391, 16.446869331081242, 66.12979926977948, 0.0379419994523057, 7.181182541211345, 7.737013516212239, 0.188169166484076, 0.0892611930713792, 1.0828882227404226, 0.1801285397128989, 0.0018446786702973, 0.5544571989296538, 0.3474597031348681, 0.0365686292085394, 0.0162268388532557, 1.36
392, 18.10037597973357, 66.13110631031017, 0.0369513369809789, 7.181066931323182, 7.597669687683862, 0.1855849996470122, 0.0888038209476141, 1.3108869397795335, 0.1960559898989754, 0.0019157971481176, 0.6198250315927314, 0.3853619860733604, 0.0394935834185836, 0.0193155083754942, 1.02
393, 16.907142155837317, 66.31821105893007, 0.0393941877499777, 7.22108876162418, 7.616071759503668, 0.2477481744276517, 0.1294502016635013, 2.087445457543301, 0.3689872815921458, 0.0035304151531983, 0.9065999618407272, 0.4876294236433435, 0.0721352880383473, 0.0338746014782778, 1.41
394, 19.918159041001275, 66.40899554102111, 0.0370423668487652, 7.028823815234155, 7.665309813485248, 0.2007470307506836, 0.0573860631176127, 2.448833765127851, 0.329798413164323, 0.0032356005433289, 0.7850040130046321, 0.7141855934938324, 0.0597276635543796, 0.022486123157187, 0.97
395, 22.34399303418844, 66.11378217453917, 0.0350021638642662, 7.376000768588432, 7.550235367490872, 0.2151184784793641, 0.0899018126299405, 1.696670091023725, 0.1781860799542669, 0.0016955259313657, 0.4958129017597347, 0.3012811840362435, 0.0362693058451072, 0.0158272495985619, 1.41
396, 20.074373764845888, 66.35473559924681, 0.0371498495984742, 7.901628568055258, 7.942950347545157, 0.213036869473744, 0.0938528219108705, 1.369997194613913, 0.1686054439967259, 0.0016140387613863, 0.5057755114094593, 0.3471847000569977, 0.0332788667573514, 0.0197874051426945, 1.37
397, 19.56498509234194, 66.26312491775246, 0.0373598600055074, 7.454663270906445, 7.526250758930758, 0.1927075193053785, 0.1063612683328234, 2.1170098543862808, 0.284643908560572, 0.0025944113675331, 0.7144890504946412, 0.3770123507902998, 0.0469995263907288, 0.0245167190502662, 0.99
398, 17.874340661390136, 66.14173415188586, 0.0366365596025424, 7.5141582372027695, 7.571126562390608, 0.1985528544549165, 0.0794684999890907, 1.1155494983032366, 0.1615435276086761, 0.0015543412293081, 0.4939204021857534, 0.327086003197535, 0.0300156034087383, 0.0149868305270727, 0.89
399, 19.81292933880471, 65.70681528941532, 0.0330754115381455, 6.323241851889453, 7.867137817361507, 0.1986768171798851, 0.1320660242018618, 1.7298469588978902, 0.2094210384991726, 0.0019879310642329, 0.5623427739862503, 0.2125323903904961, 0.0447672279504401, 0.0185065880069016, 1.01
400, 20.887858398591177, 65.59317125645961, 0.0318375922629219, 6.672196043752917, 6.838505228232379, 0.1934165499816758, 0.071791704460624, 1.729900593608972, 0.1929097789831603, 0.0018975641536606, 0.4774939654930509, 0.3591248213297429, 0.0350835093783025, 0.0167991232698852, 0.97
401, 17.95262429630529, 66.0343636467792, 0.0352484340615266, 5.658319455056447, 6.271911382371345, 0.2047087958044494, 0.1135588305890174, 1.3369287934995924, 0.2360756261147048, 0.0021439371524606, 0.7430200616472216, 0.286489960913077, 0.0678092197290203, 0.020580582081731, 0.96
402, 20.214258672155527, 65.44467074338986, 0.0305942978562151, 6.68275307724832, 7.378976500481007, 0.1886627849334542, 0.0756526265145536, 1.423133773549715, 0.1480722317004907, 0.0015422718175544, 0.3744930234299622, 0.2530772864300156, 0.0282201012205183, 0.0130827003446219, 0.9
403, 16.876453295867062, 65.44778665291958, 0.0318506579313678, 6.59334206721106, 6.974529059279896, 0.1744721725129299, 0.0491263152042068, 1.1831808923244895, 0.162596385119135, 0.0017088080969836, 0.4877049034391983, 0.4658885581070544, 0.0313896668521573, 0.0144426616503463, 1.28
404, 12.989420341666008, 67.55584133302663, 0.0516572581158946, 9.999999999999998, 9.999999999999936, 0.2659266958541229, 0.1208655630877946, 1.3064324358560242, 0.348932648847728, 0.0036007108908314, 0.89994197288172, 0.6448582917030454, 0.0506801803205766, 0.0309956473185391, 0.9
405, 8.841391133850305, 66.22175520396388, 0.0435373695959395, 7.349773567034183, 7.756711847442749, 0.3211131726274235, 0.1803268511455277, 0.6501942966146254, 0.2866537737821133, 0.0028640509950068, 0.6740589707544311, 0.3970773490903765, 0.0679234041859579, 0.0364547511944473, 1.4
406, 17.984188875454638, 66.43931296078893, 0.0388031951030341, 7.679776801181958, 8.155260395469567, 0.2068254080408273, 0.1180313658362269, 1.765932045716578, 0.2602285783654933, 0.0025602021559334, 0.757136851188016, 0.4759856942968204, 0.0455822966261769, 0.0300367510429369, 0.83
407, 20.8296242850307, 65.64040208689386, 0.0322871298909452, 6.316102512553846, 6.938889498533984, 0.1622260423769429, 0.0660045713901145, 2.067644337653926, 0.2372656455541333, 0.0023471024640966, 0.6746761716343133, 0.4228472602578131, 0.0435734519040125, 0.0182603664581294, 0.9
409, 18.895808965616013, 66.22305369407037, 0.0366970452803449, 8.099697776569181, 8.074330081289373, 0.1725348967635966, 0.0779833605254992, 1.8204582625445416, 0.2223096740041255, 0.0021561933765174, 0.5739942013597409, 0.4161988922452162, 0.03381159648897, 0.018662097561366, 1.25
410, 18.13919532189455, 66.60061478521499, 0.0382288171995885, 7.415356811400521, 7.829234957111108, 0.2744352418286567, 0.1143439314648725, 1.9603491202503245, 0.2891398733392141, 0.0026025021404837, 0.551903889459659, 0.388289587219339, 0.0500010687185159, 0.0239531754068601, 1.29
411, 16.03974453728752, 65.86826762267665, 0.035710675303522, 6.556466247020019, 7.756976915833579, 0.2438999223848733, 0.1130114318371147, 0.9939515061505104, 0.1634237044308242, 0.0015917200655788, 0.4213552808280931, 0.2575274238070944, 0.0413234508732263, 0.017592846028183, 0.85
412, 18.73468089354676, 65.8525864266488, 0.0355683511526484, 7.070978202725093, 7.66267825815321, 0.2034514127772492, 0.084354220004157, 1.1546446325467312, 0.1513512007595489, 0.0015077755681148, 0.4271728423001572, 0.2981863503737384, 0.0307904191437006, 0.0144229395726077, 0.82
413, 19.091261597873693, 66.24084541673696, 0.0370946250482944, 7.517795429792926, 7.925008939428284, 0.1722666465599524, 0.092381588500136, 1.4014225539381793, 0.1962555069510597, 0.0019292771137502, 0.6996854378297949, 0.3717898547401424, 0.0378710683765004, 0.01899087352699, 1.27
414, 20.18183630297641, 66.02304138191256, 0.034930391498557, 7.488876310797508, 7.734832100414675, 0.1947943088818413, 0.0865410032708088, 1.415621792217299, 0.1619893616855036, 0.0015848590877043, 0.495056587763702, 0.319698335967824, 0.0313571812826614, 0.0161071160080269, 1.32
415, 20.386408427244948, 65.34484423951572, 0.0295689310069173, 6.861031189018985, 7.881622563464948, 0.1692531394734677, 0.0935458253415347, 1.894535123529596, 0.1956957008164354, 0.0021012019522695, 0.5456810028481168, 0.328004390569142, 0.0338156986279808, 0.0225849153359102, 0.97
