#,,0=FMV,0=horizontal,,0=left,from left to right,,,,,,,,,,,,,,-1=no amp,-1=no amp,,,,,,,,,
#,,1=MRD,1=vertical,,1=right,from bottom to top,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,0=bottom,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,1=top,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGEND_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detector_num,channel_num,detector_system,orientation,layer,side,num,x_center,y_center,z_center,x_width,y_width,z_width,rack,TDC_slot,TDC_channel,discrim_slot,discrim_ch,patch_panel_row,patch_panel_col,amp_slot,amp_channel,hv_crate,hv_slot,hv_channel,nominal_HV,polarity,PMT_type,cable_label,paddle_label,notes
########################################
DATA_START,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,1,0,2,1,6,73.75,0,336.38,147.2,20,0.6,7,2,22,3,7,2,7,-1,-1,1,5,6,-1900,-1,-9999,MRD_x01_y06_z02,MRD_x01_y06_z02,None
46,46,1,0,2,1,7,73.75,20.3,336.38,147.2,20,0.6,7,2,23,3,8,2,8,-1,-1,1,5,7,-2100,-1,-9999,MRD_x01_y07_z02,MRD_x01_y07_z02,None
47,47,1,0,2,1,8,73.75,40.6,336.38,147.2,20,0.6,7,2,24,3,9,2,9,-1,-1,1,5,8,-2100,-1,-9999,MRD_x01_y08_z02,MRD_x01_y08_z02,None
48,48,1,0,2,1,9,73.75,60.9,336.38,147.2,20,0.6,7,2,25,3,10,2,10,-1,-1,1,5,9,-2100,-1,-9999,MRD_x01_y09_z02,MRD_x01_y09_z02,None
49,49,1,0,2,1,10,73.75,81.2,336.38,147.2,20,0.6,7,2,26,3,11,2,11,-1,-1,1,5,10,-2100,-1,-9999,MRD_x01_y10_z02,MRD_x01_y10_z02,None
50,50,1,0,2,1,11,73.75,101.5,336.38,147.2,20,0.6,7,2,27,3,12,2,12,-1,-1,1,5,11,-2100,-1,-9999,MRD_x01_y11_z02,MRD_x01_y11_z02,None
51,51,1,0,2,1,12,73.75,121.8,336.38,147.2,20,0.6,7,2,28,3,13,2,13,-1,-1,1,5,12,-1900,-1,-9999,MRD_x01_y12_z02,MRD_x01_y12_z02,None
52,52,1,1,3,0,0,-107.1,-65.25,348.84,15,130.2,1.3,8,5,0,4,1,3,1,-1,-1,1,6,0,-2000,-1,-9999,MRD_x00_y00_z03,MRD_x00_y00_z03,None
53,53,1,1,3,0,1,-91.8,-65.25,348.84,15,130.2,1.3,8,5,1,4,2,3,2,-1,-1,1,6,1,-2000,-1,-9999,MRD_x01_y00_z03,MRD_x01_y00_z03,None
54,54,1,1,3,0,2,-76.5,-65.25,348.84,15,130.2,1.3,8,5,2,4,3,3,3,-1,-1,1,6,2,-2000,-1,-9999,MRD_x02_y00_z03,MRD_x02_y00_z03,None
55,55,1,1,3,0,3,-61.2,-65.25,348.84,15,130.2,1.3,8,5,3,4,4,3,4,-1,-1,1,6,3,-2000,-1,-9999,MRD_x03_y00_z03,MRD_x03_y00_z03,None
56,56,1,1,3,0,4,-45.9,-65.25,348.84,15,130.2,1.3,8,5,4,4,5,3,5,-1,-1,1,6,4,-2000,-1,-9999,MRD_x04_y00_z03,MRD_x04_y00_z03,None
57,57,1,1,3,0,5,-30.6,-65.25,348.84,15,130.2,1.3,8,5,5,4,6,3,6,-1,-1,1,6,5,-2000,-1,-9999,MRD_x05_y00_z03,MRD_x05_y00_z03,None
58,58,1,1,3,0,6,-15.3,-65.25,348.84,15,130.2,1.3,8,5,6,4,7,3,7,-1,-1,1,6,6,-2000,-1,-9999,MRD_x06_y00_z03,MRD_x06_y00_z03,None
59,59,1,1,3,0,7,0,-65.25,348.84,15,130.2,1.3,8,5,7,4,8,3,8,-1,-1,1,6,7,-2000,-1,-9999,MRD_x07_y00_z03,MRD_x07_y00_z03,None
60,60,1,1,3,0,8,15.3,-65.25,348.84,15,130.2,1.3,8,5,8,4,9,3,9,-1,-1,1,6,8,-2000,-1,-9999,MRD_x08_y00_z03,MRD_x08_y00_z03,None
61,61,1,1,3,0,9,30.6,-65.25,348.84,15,130.2,1.3,8,5,9,4,10,3,10,-1,-1,1,6,9,-2000,-1,-9999,MRD_x09_y00_z03,MRD_x09_y00_z03,None
62,62,1,1,3,0,10,45.9,-65.25,348.84,15,130.2,1.3,8,5,10,4,11,3,11,-1,-1,1,6,10,-2000,-1,-9999,MRD_x10_y00_z03,MRD_x10_y00_z03,None
63,63,1,1,3,0,11,61.2,-65.25,348.84,15,130.2,1.3,8,5,11,4,12,3,12,-1,-1,1,6,11,-2000,-1,-9999,MRD_x11_y00_z03,MRD_x11_y00_z03,None
64,64,1,1,3,0,12,76.5,-65.25,348.84,15,130.2,1.3,8,5,12,4,13,3,13,-1,-1,1,6,12,-2000,-1,-9999,MRD_x12_y00_z03,MRD_x12_y00_z03,None
65,65,1,1,3,0,13,91.8,-65.25,348.84,15,130.2,1.3,8,5,13,4,14,3,14,-1,-1,1,6,13,-2000,-1,-9999,MRD_x13_y00_z03,MRD_x13_y00_z03,None
66,66,1,1,3,0,14,107.1,-65.25,348.84,15,130.2,1.3,8,5,14,4,15,3,15,-1,-1,1,6,14,-1800,-1,-9999,MRD_x14_y00_z03,MRD_x14_y00_z03,None
67,67,1,1,3,1,0,-107.1,65.25,348.84,15,130.2,1.3,8,5,16,6,1,4,1,-1,-1,1,7,0,-2200,-1,-9999,MRD_x00_y01_z03,MRD_x00_y01_z03,None
